-32.95,-47.32,-21.87,34.42,59.70
-38.30,58.15,13.34,-26.65,-38.12
-14.06,27.17,-9.05,-20.17,52.56
59.21,12.65,-0.45,3.35,48.42
-46.23,17.35,-14.46,4.19,57.16
-45.94,49.12,43.01,53.19,-31.13
39.14,-31.10,57.61,-13.62,-17.30
-8.44,-8.49,51.99,47.76,-38.51
7.29,-6.38,6.57,19.35,-0.39
-28.58,4.77,25.82,25.79,-42.38
51.19,-32.58,39.26,35.36,44.86
6.35,-43.58,57.98,-29.67,49.18
38.71,46.07,28.71,-14.48,24.86
-42.40,31.58,39.69,-0.68,55.13
-11.91,-10.19,-15.17,36.12,31.32
-42.74,8.22,34.55,18.65,58.67
57.68,26.15,-38.98,27.39,16.82
44.18,-12.49,19.44,59.00,60.16
17.62,31.15,13.23,5.28,-2.09
-17.51,-27.15,-25.97,7.38,46.24
-27.29,9.51,-5.07,-23.40,-7.58
-32.61,-42.91,-39.49,17.84,-38.58
53.88,58.50,-9.79,-17.00,30.07
-29.35,36.12,35.39,7.83,16.61
-11.07,-25.86,39.73,-13.23,29.53
14.50,31.25,8.89,-22.51,-24.89
-35.48,40.03,52.11,35.75,-39.31
58.76,12.86,-6.46,-46.26,8.45
-6.79,51.89,7.91,-41.45,50.41
14.38,-38.01,-8.66,0.35,52.95
43.31,23.59,30.32,-32.73,-23.81
-17.40,-22.86,52.38,23.30,-19.73
0.42,-18.76,7.88,-47.16,-16.13
-32.07,47.17,38.15,-25.36,26.82
3.22,59.61,30.63,-19.41,-16.94
-8.19,39.28,62.04,-43.09,58.95
-5.76,51.87,8.97,-30.97,-18.57
52.23,-9.85,-29.98,48.71,22.51
14.96,1.73,44.80,49.67,-21.66
34.55,60.92,-2.78,-44.51,-27.91
-26.82,30.55,38.30,10.95,59.14
58.84,-23.32,-18.19,52.70,-29.94
-8.89,25.06,39.75,16.63,25.38
-23.84,1.36,-12.50,30.57,17.06
-15.51,56.36,17.18,38.48,-42.02
9.52,5.64,36.92,-10.88,29.83
11.73,-2.61,58.82,34.15,46.55
52.98,-42.66,12.00,-9.58,39.70
3.15,29.49,17.28,56.02,41.36
1.40,33.82,-45.76,-33.73,-13.50
34.40,22.64,-46.34,-23.43,11.47
11.17,49.94,-26.03,3.47,16.43
27.44,-35.72,57.85,-28.98,40.07
48.63,38.75,-31.50,25.64,29.11
5.60,47.33,1.76,42.87,-37.56
-43.87,-2.87,58.60,-38.74,62.03
22.27,40.80,12.59,-40.95,-30.17
-25.28,8.51,55.93,3.71,14.23
3.92,-13.32,52.88,57.38,19.17
-40.15,-39.66,7.25,61.99,24.30
21.84,-47.15,16.12,29.08,30.17
51.57,-26.45,-35.80,-15.45,48.60
41.30,44.88,44.24,-13.28,-43.52
35.63,54.69,29.92,14.74,-13.40
52.10,-5.24,-13.49,44.42,-17.96
32.89,19.13,51.89,-35.04,-25.89
61.71,-39.70,-21.02,-39.27,17.52
37.31,-14.40,19.25,1.03,-10.50
59.20,-8.84,-2.61,21.19,1.49
-20.80,-2.72,-41.88,-27.46,-38.69
13.30,-2.90,54.83,5.38,14.73
14.18,-11.39,44.77,-40.24,-20.56
7.94,-20.92,0.30,-31.22,32.79
-38.87,6.16,24.54,-9.10,-4.49
43.00,-46.75,54.92,-9.39,-45.31
-12.94,-24.90,-45.82,25.03,-32.30
-38.79,40.60,2.28,-36.38,24.16
35.56,2.88,-40.45,54.29,-37.11
42.32,-7.06,-45.82,37.94,44.36
-40.34,6.57,11.91,-19.44,44.06
61.83,8.90,7.44,52.21,-5.68
52.11,-11.94,36.19,21.03,24.85
-35.62,-35.03,47.65,-38.49,-23.09
32.68,-3.63,-1.92,39.85,-45.74
5.42,10.49,27.32,56.39,-26.83
-18.73,-24.02,-21.00,33.75,61.41
45.16,57.80,41.36,3.51,-13.72
-4.56,45.87,56.20,-41.39,15.28
-38.32,47.98,43.52,51.74,-18.23
-22.06,48.97,5.06,-1.73,15.88
-33.44,-12.13,38.77,-30.26,19.20
29.28,-10.31,23.54,35.96,-5.11
6.94,60.93,18.71,44.67,55.42
-44.06,-13.70,54.87,-26.42,-0.16
-8.72,-46.33,-43.54,5.29,42.57
5.28,-38.14,32.41,32.31,-10.17
47.36,30.08,38.79,0.52,-28.53
58.00,15.72,-28.32,-4.29,-5.24
29.27,22.73,24.43,56.69,-28.13
3.04,19.67,11.60,-14.81,18.90
11.82,5.49,21.67,45.05,47.56
-19.96,57.41,-16.77,20.33,-1.20
-4.22,34.15,57.92,44.50,27.22
14.33,-33.50,20.94,52.98,19.70
41.47,40.38,53.55,53.50,58.17
-34.76,-16.38,-30.34,52.79,51.50
9.21,1.48,44.99,-39.52,26.54
4.52,-32.17,36.64,-19.29,-33.56
52.11,23.64,43.04,11.07,-12.40
-19.49,38.10,-38.82,47.66,37.60
-32.73,4.70,-35.89,-10.06,62.09
12.15,-38.61,17.26,27.54,-31.45
